model_id,architecture,obj_adr_range,reward_threshold,check_frequency,test_mean_reward,test_std_reward,success
ppo_source_adr_0.30_1200_40000_medium_11,medium,0.3,1200,40000,1724.3837839579583,5.2461974572984476,1
ppo_source_adr_0.30_1200_40000_large_11,large,0.3,1200,40000,1585.961295800209,210.42096924295095,1
ppo_source_adr_0.30_1200_80000_medium_11,medium,0.3,1200,80000,1771.3232703375816,50.39585209016355,1
ppo_source_adr_0.30_1200_80000_large_11,large,0.3,1200,80000,1136.37716807127,108.56647519169711,0
ppo_source_adr_0.30_1500_40000_medium_11,medium,0.3,1500,40000,1181.4174989295007,66.16385435023098,0
ppo_source_adr_0.30_1500_40000_large_11,large,0.3,1500,40000,1006.3106657457352,13.387886829505867,0
ppo_source_adr_0.30_1500_80000_medium_11,medium,0.3,1500,80000,1014.3173336470127,14.33360121124879,0
ppo_source_adr_0.30_1500_80000_large_11,large,0.3,1500,80000,1188.4670124650002,52.944780699918994,0
ppo_source_adr_0.50_1200_40000_medium_11,medium,0.5,1200,40000,1314.2070761680602,132.58387420293496,0
ppo_source_adr_0.50_1200_40000_large_11,large,0.5,1200,40000,846.655679628849,16.04789427804256,0
ppo_source_adr_0.50_1200_80000_medium_11,medium,0.5,1200,80000,1769.180168237686,84.72352661366578,1
ppo_source_adr_0.50_1200_80000_large_11,large,0.5,1200,80000,704.343732521534,2.340466277330674,0
ppo_source_adr_0.50_1500_40000_medium_11,medium,0.5,1500,40000,1404.3285898923873,99.7533633136061,0
ppo_source_adr_0.50_1500_40000_large_11,large,0.5,1500,40000,979.9598022222519,24.4728378054109,0
ppo_source_adr_0.50_1500_80000_medium_11,medium,0.5,1500,80000,668.4974559807778,5.8269950595422655,0
ppo_source_adr_0.50_1500_80000_large_11,large,0.5,1500,80000,1191.3647050905229,54.357640753295286,0
ppo_source_adr_0.70_1200_40000_medium_11,medium,0.7,1200,40000,725.0376350188255,6.006661312069695,0
ppo_source_adr_0.70_1200_40000_large_11,large,0.7,1200,40000,948.5192051815986,20.42947477131961,0
ppo_source_adr_0.70_1200_80000_medium_11,medium,0.7,1200,80000,1035.2826482605933,16.977767924800478,0
ppo_source_adr_0.70_1200_80000_large_11,large,0.7,1200,80000,704.3362256145477,2.0012851374205045,0
ppo_source_adr_0.70_1500_40000_medium_11,medium,0.7,1500,40000,1308.435887796879,151.99252861205468,0
ppo_source_adr_0.70_1500_40000_large_11,large,0.7,1500,40000,989.1979533195496,29.878242681031168,0
ppo_source_adr_0.70_1500_80000_medium_11,medium,0.7,1500,80000,668.2240737724304,5.664020179720267,0
ppo_source_adr_0.70_1500_80000_large_11,large,0.7,1500,80000,1184.2683527874947,58.1510331592536,0
