model_id,lr_scheduler_type,obj_adr_range,reward_threshold,increase_rate,check_frequency,architecture,learning_rate,starting_adr_range,test_mean_reward,test_std_reward,test_mean_len,test_std_len,success
CustomHopper-source-v0_adr_constant_0.3_1200_0.05_40000_small_928571,constant,0.3,1200,0.05,40000,small,0.0003,0.05,1737.6852139115333,37.05913900337738,495.08,16.721052598446068,1
CustomHopper-source-v0_adr_constant_0.3_1200_0.05_40000_medium_928571,constant,0.3,1200,0.05,40000,medium,0.0003,0.05,1511.157769573927,133.97211361416683,442.9,42.26641692881004,1
CustomHopper-source-v0_adr_constant_0.3_1200_0.05_40000_large_928571,constant,0.3,1200,0.05,40000,large,0.0003,0.05,1202.1145240974427,37.083858519976,321.58,8.442961565706668,0
CustomHopper-source-v0_adr_constant_0.3_1200_0.05_80000_small_928571,constant,0.3,1200,0.05,80000,small,0.0003,0.05,957.1900185990334,63.01310027788668,266.4,13.053735097664575,0
CustomHopper-source-v0_adr_constant_0.3_1200_0.05_80000_medium_928571,constant,0.3,1200,0.05,80000,medium,0.0003,0.05,1278.6661716151239,128.99602181501797,347.8,37.847589090984386,0
CustomHopper-source-v0_adr_constant_0.3_1200_0.05_80000_large_928571,constant,0.3,1200,0.05,80000,large,0.0003,0.05,1459.215710709095,162.08390084836506,384.18,48.75148818241347,0
CustomHopper-source-v0_adr_constant_0.3_1500_0.05_40000_small_928571,constant,0.3,1500,0.05,40000,small,0.0003,0.05,835.0882983851433,43.969410181362754,234.88,8.056401181669147,0
CustomHopper-source-v0_adr_constant_0.3_1500_0.05_40000_medium_928571,constant,0.3,1500,0.05,40000,medium,0.0003,0.05,1758.310496032238,29.033726942234317,500.0,0.0,1
CustomHopper-source-v0_adr_constant_0.3_1500_0.05_40000_large_928571,constant,0.3,1500,0.05,40000,large,0.0003,0.05,904.0144734406472,33.85259095744481,249.12,7.633190682801001,0
CustomHopper-source-v0_adr_constant_0.3_1500_0.05_80000_small_928571,constant,0.3,1500,0.05,80000,small,0.0003,0.05,770.4464574551582,14.112353801935708,223.9,2.85832118559129,0
CustomHopper-source-v0_adr_constant_0.3_1500_0.05_80000_medium_928571,constant,0.3,1500,0.05,80000,medium,0.0003,0.05,1267.43373554945,113.06861198143882,344.02,31.557876988162562,0
CustomHopper-source-v0_adr_constant_0.3_1500_0.05_80000_large_928571,constant,0.3,1500,0.05,80000,large,0.0003,0.05,1430.8037028455735,216.6580209429092,377.56,56.38196874888283,0
CustomHopper-source-v0_adr_constant_0.5_1200_0.05_40000_small_928571,constant,0.5,1200,0.05,40000,small,0.0003,0.05,1511.6256370186807,139.81622164528383,396.64,35.02842274496527,1
