model_id,lr_scheduler_type,obj_adr_range,reward_threshold,increase_rate,check_frequency,architecture,learning_rate,starting_adr_range,test_mean_reward,test_std_reward,test_mean_len,test_std_len,success
CustomWalker-source-v0_adr_constant_0.3_1700_0.05_40000_small_928571,constant,0.3,1700,0.05,40000,small,0.0003,0.05,4119.802745143175,17.266040612930723,1000.0,0.0,1
CustomWalker-source-v0_adr_constant_0.3_1700_0.05_40000_medium_928571,constant,0.3,1700,0.05,40000,medium,0.0003,0.05,2014.8433965158463,934.1721874268783,583.28,252.9413402352411,1
CustomWalker-source-v0_adr_constant_0.3_1700_0.05_40000_large_928571,constant,0.3,1700,0.05,40000,large,0.0003,0.05,3276.880043390989,481.50839255443395,933.52,131.8010986297155,1
CustomWalker-source-v0_adr_constant_0.3_1700_0.05_80000_small_928571,constant,0.3,1700,0.05,80000,small,0.0003,0.05,4050.1239002490042,18.097489277048275,1000.0,0.0,1
CustomWalker-source-v0_adr_constant_0.3_1700_0.05_80000_medium_928571,constant,0.3,1700,0.05,80000,medium,0.0003,0.05,2294.6960870325565,1092.8695156463305,644.5,290.37914870045336,1
CustomWalker-source-v0_adr_constant_0.3_1700_0.05_80000_large_928571,constant,0.3,1700,0.05,80000,large,0.0003,0.05,2733.762375124693,1103.0611588966246,759.66,286.95397610069807,1
CustomWalker-source-v0_adr_constant_0.3_2000_0.05_40000_small_928571,constant,0.3,2000,0.05,40000,small,0.0003,0.05,3517.164090524912,1022.5075161764917,868.38,238.38119808407708,1
CustomWalker-source-v0_adr_constant_0.3_2000_0.05_40000_medium_928571,constant,0.3,2000,0.05,40000,medium,0.0003,0.05,1963.5713382065296,871.6399451498712,565.24,231.35959543533093,1
CustomWalker-source-v0_adr_constant_0.3_2000_0.05_40000_large_928571,constant,0.3,2000,0.05,40000,large,0.0003,0.05,3146.7432252383232,709.298664264809,901.68,190.33942733968703,1
CustomWalker-source-v0_adr_constant_0.3_2000_0.05_80000_small_928571,constant,0.3,2000,0.05,80000,small,0.0003,0.05,4054.7098965072632,20.196588582311016,1000.0,0.0,1
CustomWalker-source-v0_adr_constant_0.3_2000_0.05_80000_medium_928571,constant,0.3,2000,0.05,80000,medium,0.0003,0.05,1892.186126922369,639.5817753360678,522.58,161.05428774174254,1
CustomWalker-source-v0_adr_constant_0.3_2000_0.05_80000_large_928571,constant,0.3,2000,0.05,80000,large,0.0003,0.05,2091.5258062696457,1245.5562804416465,582.36,301.20635849862134,1
CustomWalker-source-v0_adr_constant_0.5_1700_0.05_40000_small_928571,constant,0.5,1700,0.05,40000,small,0.0003,0.05,735.252735171318,17.74801274988808,234.12,6.088152429103595,0
CustomWalker-source-v0_adr_constant_0.5_1700_0.05_40000_medium_928571,constant,0.5,1700,0.05,40000,medium,0.0003,0.05,1601.363390815258,920.5630921771386,468.84,249.16447258788722,1
CustomWalker-source-v0_adr_constant_0.5_1700_0.05_40000_large_928571,constant,0.5,1700,0.05,40000,large,0.0003,0.05,3132.600707075596,914.8681805393677,865.64,244.8810944111448,1
CustomWalker-source-v0_adr_constant_0.5_1700_0.05_80000_small_928571,constant,0.5,1700,0.05,80000,small,0.0003,0.05,996.1735485208035,105.68706326846211,283.22,24.746951327385762,0
CustomWalker-source-v0_adr_constant_0.5_1700_0.05_80000_medium_928571,constant,0.5,1700,0.05,80000,medium,0.0003,0.05,1669.9568721210956,771.9910124667755,490.5,204.17720244924504,1
CustomWalker-source-v0_adr_constant_0.5_1700_0.05_80000_large_928571,constant,0.5,1700,0.05,80000,large,0.0003,0.05,2704.662908489704,862.7995367849843,721.16,227.51715188090765,1
CustomWalker-source-v0_adr_constant_0.5_2000_0.05_40000_small_928571,constant,0.5,2000,0.05,40000,small,0.0003,0.05,3108.7071060299872,857.3581850930238,792.08,210.7402040427977,1
CustomWalker-source-v0_adr_constant_0.5_2000_0.05_40000_medium_928571,constant,0.5,2000,0.05,40000,medium,0.0003,0.05,3057.7156445002556,610.114819711037,878.68,169.51984426609175,1
CustomWalker-source-v0_adr_constant_0.5_2000_0.05_40000_large_928571,constant,0.5,2000,0.05,40000,large,0.0003,0.05,3436.794757964611,507.91924134366116,944.26,135.20322629286625,1
CustomWalker-source-v0_adr_constant_0.5_2000_0.05_80000_small_928571,constant,0.5,2000,0.05,80000,small,0.0003,0.05,978.8719156694413,99.3887771241394,280.78,24.916091186219397,0
CustomWalker-source-v0_adr_constant_0.5_2000_0.05_80000_medium_928571,constant,0.5,2000,0.05,80000,medium,0.0003,0.05,1508.7313262832165,386.0300882464943,422.5,100.48149083288922,1
CustomWalker-source-v0_adr_constant_0.5_2000_0.05_80000_large_928571,constant,0.5,2000,0.05,80000,large,0.0003,0.05,1849.7942810799927,1019.8638885381852,560.1,276.7002891216415,1
CustomWalker-source-v0_adr_constant_0.7_1700_0.05_40000_small_928571,constant,0.7,1700,0.05,40000,small,0.0003,0.05,3474.9685471987723,936.7542310857738,924.46,233.26107347776653,1
CustomWalker-source-v0_adr_constant_0.7_1700_0.05_40000_medium_928571,constant,0.7,1700,0.05,40000,medium,0.0003,0.05,2511.834199051857,714.2054272819777,706.34,198.256965577505,1
CustomWalker-source-v0_adr_constant_0.7_1700_0.05_40000_large_928571,constant,0.7,1700,0.05,40000,large,0.0003,0.05,2938.491590179205,998.2577934922062,797.88,260.5319665607275,1
CustomWalker-source-v0_adr_constant_0.7_1700_0.05_80000_small_928571,constant,0.7,1700,0.05,80000,small,0.0003,0.05,961.5676006984711,99.89376534901479,275.96,24.041597284706356,0
CustomWalker-source-v0_adr_constant_0.7_1700_0.05_80000_medium_928571,constant,0.7,1700,0.05,80000,medium,0.0003,0.05,1298.268385360241,242.06412229977096,392.48,59.71640980501088,0
CustomWalker-source-v0_adr_constant_0.7_1700_0.05_80000_large_928571,constant,0.7,1700,0.05,80000,large,0.0003,0.05,3083.471230569482,1066.1595326110867,851.28,278.9464493410877,1
CustomWalker-source-v0_adr_constant_0.7_2000_0.05_40000_small_928571,constant,0.7,2000,0.05,40000,small,0.0003,0.05,3635.7368234574797,542.2193409510436,949.22,139.2662615280528,1
CustomWalker-source-v0_adr_constant_0.7_2000_0.05_40000_medium_928571,constant,0.7,2000,0.05,40000,medium,0.0003,0.05,2043.7148892831801,1019.7020223658727,573.62,261.1496804516521,1
CustomWalker-source-v0_adr_constant_0.7_2000_0.05_40000_large_928571,constant,0.7,2000,0.05,40000,large,0.0003,0.05,2508.2109661102295,1216.2961472361178,716.0,331.471326060038,1
CustomWalker-source-v0_adr_constant_0.7_2000_0.05_80000_small_928571,constant,0.7,2000,0.05,80000,small,0.0003,0.05,990.7189234864712,98.37599378011811,284.9,24.11907958442859,0
