#{"t_start": 1766967767.6908412, "env_id": "CustomHopper-source-v0"}
r,l,t
1.741012,16,0.045119
7.662429,11,0.056125
22.287682,34,0.089279
25.121899,25,0.117099
4.921485,9,0.134482
10.271563,13,0.150884
6.556565,16,0.168624
66.024221,54,0.227221
2.466249,13,0.248405
16.619939,22,0.263204
4.457297,16,0.284624
6.715124,13,0.304005
12.503936,26,0.424586
7.184478,12,0.433297
8.614413,17,0.450708
15.917773,17,0.473758
18.387399,19,0.493669
4.285538,25,0.520149
3.783874,9,0.530439
14.972254,17,0.544438
48.366849,47,0.598989
9.835925,12,0.600999
5.829714,12,0.629193
7.999923,12,0.636744
9.047734,13,0.655774
153.631347,89,0.828798
15.636945,17,0.843798
11.770485,18,0.85923
15.050233,15,0.87573
10.546067,14,0.890837
2.917897,11,0.903847
0.751416,10,0.924603
5.860046,14,0.940156
21.965336,38,0.982925
8.55035,12,0.995017
19.901821,26,1.010855
4.290396,13,1.043565
2.769377,22,1.071737
8.540224,17,1.08648
19.506904,21,1.108914
23.165097,23,1.14747
12.835927,23,1.163648
3.580798,8,1.181677
34.010558,35,1.212776
3.570263,13,1.223779
7.555982,18,1.249846
29.365916,28,1.27968
7.000498,20,1.295643
7.44122,11,1.295643
5.70621,16,1.319217
25.51595,22,1.336217
6.15948,11,1.349653
7.755022,22,1.377568
87.220438,57,1.427909
20.383835,19,1.44231
16.45679,20,1.466601
90.273191,64,1.524038
4.592053,13,1.536438
10.148467,22,1.555
4.535065,8,1.559227
18.027996,19,1.581524
27.103966,32,1.612025
13.903429,24,1.625735
8.812967,14,1.625735
11.361199,16,1.653119
9.090427,30,1.676799
8.990264,16,1.6992
13.782497,15,1.713851
7.952443,13,1.726067
5.620902,11,1.735164
6.998999,13,1.742396
9.048349,13,1.758158
11.206567,19,1.782015
13.422845,18,1.808753
11.727407,13,1.820212
7.023481,10,1.831701
9.160439,12,1.840692
5.144736,9,1.842611
13.003913,15,1.862757
8.394247,20,1.879134
7.834122,20,1.896645
20.098531,23,1.92251
9.217888,16,1.935791
25.97181,23,1.957334
15.631346,29,1.981865
1.560211,11,1.990774
10.652371,18,2.005862
5.711612,10,2.008677
12.551176,19,2.024629
6.581463,10,2.050972
113.135947,77,2.115676
33.206882,29,2.147948
8.770149,30,2.176445
88.731987,76,2.239527
0.983221,23,2.25909
10.039516,19,2.283004
5.256911,9,2.293223
10.731108,12,2.302221
18.132857,21,2.31492
10.093216,11,2.33182
9.95063,12,2.34082
9.008999,18,2.355816
2.491039,9,2.358655
16.916768,25,2.392949
3.071114,18,2.410542
19.203824,38,2.439563
7.2183,15,2.453614
10.529799,14,2.466451
15.355458,20,2.477504
29.837231,32,2.516008
7.683469,12,2.53033
10.774399,17,2.54481
43.321382,26,2.568294
7.378757,17,2.582383
11.236152,21,2.599184
6.211752,14,2.619318
8.06519,11,2.629217
7.969432,11,2.637916
53.843088,40,2.660323
8.563986,16,2.686234
5.248335,10,2.694437
9.089035,17,2.709028
13.827493,27,2.736951
20.142267,24,2.759384
11.156186,13,2.770378
4.748772,19,2.775536
5.211792,10,2.794139
7.031574,20,2.811058
5.284949,9,2.819056
8.382847,11,2.825518
5.101501,9,2.825518
6.838257,11,2.851394
3.728011,13,2.865936
5.657526,26,2.969188
7.563526,15,3.00496
23.439241,24,3.029048
6.732502,12,3.040045
5.014178,10,3.042404
9.321676,18,3.068372
7.472679,14,3.08837
8.684303,13,3.100639
7.35951,18,3.116338
7.908853,14,3.12583
8.266506,14,3.14151
9.558094,12,3.152659
13.119721,16,3.166956
25.701051,27,3.197817
15.108551,18,3.213927
5.225768,8,3.213927
22.814791,27,3.243016
4.809927,8,3.243016
18.242715,22,3.271005
9.897994,14,3.284098
5.261403,11,3.293695
9.078084,11,3.302692
7.482308,17,3.326832
8.381051,16,3.34136
8.617539,29,3.358625
6.957898,10,3.378642
13.847489,20,3.395718
7.4851,30,3.408563
12.09094,17,3.439805
12.02078,14,3.454196
11.7494,13,3.466035
10.588332,29,3.482896
9.307317,18,3.50586
9.069751,13,3.516129
28.876057,42,3.558588
38.304616,53,3.604655
10.853191,17,3.60829
15.352676,20,3.63481
