#{"t_start": 1766974752.8905942, "env_id": "CustomHopper-source-v0"}
r,l,t
10.260218,20,0.055538
5.648457,9,0.066372
10.968701,24,0.090469
20.740834,21,0.108295
5.500698,10,0.108295
15.137462,21,0.124949
4.141844,7,0.124949
5.895497,13,0.163566
6.871935,11,0.171565
7.687083,11,0.181564
3.875698,25,0.195607
10.275974,16,0.215638
10.652819,28,0.242961
5.649466,9,0.248986
6.265958,16,0.272325
7.472316,12,0.282324
6.511736,19,0.29947
46.480811,34,0.330298
7.057524,10,0.339334
12.737811,17,0.353084
3.112776,7,0.359571
4.40077,14,0.371618
22.648629,30,0.405486
32.648203,27,0.428307
10.229772,12,0.438323
41.192654,30,0.463477
7.296722,10,0.474135
6.688172,13,0.484173
11.762595,25,0.514388
14.84577,23,0.524157
7.561135,16,0.559408
5.82095,10,0.565418
5.19123,13,0.578213
4.844858,11,0.584237
6.666083,11,0.595259
23.311197,25,0.626042
8.660338,11,0.634066
5.802371,9,0.64283
7.288906,13,0.654874
13.498651,15,0.665733
6.919146,15,0.775887
4.725459,13,0.807021
6.411444,10,0.812027
12.400845,14,0.836745
42.15141,42,0.875057
6.98475,14,0.888111
6.758352,11,0.890118
6.736831,11,0.904136
29.248962,41,0.952918
15.858666,16,0.956918
24.463093,23,0.986904
4.635224,10,0.994678
36.341427,27,1.018513
57.191857,41,1.065386
10.668184,23,1.090222
23.057198,22,1.112682
23.351485,25,1.127555
5.79657,17,1.159398
3.33349,8,1.165396
21.681782,25,1.19368
6.444932,11,1.204395
26.238172,25,1.229993
7.854118,12,1.246765
5.411065,10,1.24712
8.806983,36,1.294633
64.790403,48,1.334625
17.944185,21,1.347495
31.85611,24,1.38421
10.486543,17,1.400209
8.539957,19,1.417434
12.499575,18,1.432767
8.1629,11,1.443434
2.05171,12,1.453175
6.001392,10,1.462952
5.422235,9,1.470983
5.726225,9,1.478817
24.61426,23,1.508843
10.764361,14,1.518882
27.106363,24,1.542287
3.240812,7,1.548312
19.011332,22,1.567702
12.069069,16,1.580984
45.547033,35,1.61896
7.839317,23,1.639012
14.980919,16,1.653039
3.397059,8,1.660933
7.267057,13,1.662961
9.192824,27,1.689934
5.834752,9,1.689934
4.04535,16,1.721236
11.153483,14,1.733238
14.309706,16,1.748077
6.932825,10,1.757662
5.380041,24,1.808318
11.603596,14,1.867798
15.924264,34,1.902794
6.493036,9,1.902794
26.92618,29,1.949883
6.039177,10,1.959507
5.121361,9,1.959507
13.937429,15,1.979294
8.940254,27,1.992319
6.451123,15,2.011868
5.248582,11,2.023086
7.122379,14,2.044019
15.539971,36,2.075352
38.249744,64,2.133536
4.498913,10,2.143342
5.037709,10,2.158949
21.41004,22,2.180704
6.328382,13,2.19645
26.204954,24,2.218282
28.681203,26,2.241083
4.799859,8,2.244098
17.587667,22,2.275887
20.355353,46,2.315722
9.461357,17,2.329504
10.335995,35,2.357363
4.396432,20,2.384005
13.10611,18,2.422415
19.054237,18,2.423021
5.549794,12,2.449074
4.203092,10,2.458857
13.853265,16,2.474654
3.009639,8,2.480673
16.003578,20,2.507144
11.042186,15,2.520141
4.192104,10,2.529094
14.83736,16,2.540008
7.665275,13,2.540008
6.980465,16,2.564807
6.16099,15,2.578604
29.956969,29,2.614307
4.683599,9,2.62231
9.64989,23,2.643793
7.953336,14,2.657345
7.575268,18,2.668842
11.0293,15,2.68234
20.73569,27,2.712852
3.470803,10,2.725513
8.6632,14,2.73651
5.638981,12,2.73951
74.04596,61,2.791159
11.643429,13,2.803197
17.488267,20,2.830078
7.967995,12,2.839422
12.218537,19,2.8552
8.518284,18,2.871003
8.283428,12,2.881041
20.188139,19,2.896792
15.442477,36,2.933609
6.725647,10,2.943753
9.155097,15,2.954753
34.599658,32,2.979834
6.737202,16,2.991602
52.364776,36,3.022594
5.590821,10,3.040989
6.830369,12,3.04999
3.425161,17,3.063987
8.26903,13,3.074745
6.656048,19,3.09152
5.551156,13,3.101558
4.749443,9,3.109332
48.558054,39,3.152177
21.53275,23,3.171179
9.701852,27,3.188237
13.33036,18,3.203938
22.81395,24,3.225696
66.473354,60,3.272439
24.723966,28,3.309952
18.654169,21,3.325768
6.856654,12,3.335544
20.400854,28,3.347234
8.844413,23,3.385564
11.193838,15,3.390332
6.726912,11,3.407341
19.197888,22,3.425144
67.100558,48,3.465318
12.308885,13,3.477096
16.356683,19,3.502397
34.891457,48,3.543851
6.56064,33,3.570251
6.172509,13,3.578288
7.288792,11,3.578288
4.150342,11,3.606543
6.205943,11,3.614541
4.567522,9,3.621541
8.719024,13,3.632643
9.134478,15,3.646433
44.183804,37,3.679663
5.538234,9,3.685685
66.635251,45,3.73017
7.13884,13,3.741153
3.877435,21,3.762697
4.459428,9,3.770564
15.333086,26,3.78907
27.268843,34,3.819926
20.588887,20,3.844412
9.93815,14,3.854412
27.407073,37,3.882539
8.222929,11,3.892301
9.969257,14,3.900312
19.730637,23,3.92012
77.501495,58,3.964614
8.358864,13,3.986644
3.033453,10,3.994674
4.726664,12,4.004457
5.220178,12,4.014239
23.18901,26,4.035886
62.123276,48,4.086425
8.647904,12,4.0942
19.809087,19,6.136467
6.225069,13,6.155105
33.10008,29,6.181103
17.371469,18,6.196495
38.490054,34,6.226631
62.329036,36,6.264413
6.961702,16,6.281003
9.631561,14,6.292148
24.037931,25,6.311942
56.10882,37,6.344849
31.990298,29,6.377594
5.038429,16,6.3906
55.545531,56,6.43641
10.481227,27,6.53341
44.109539,42,6.589546
20.281543,25,6.619722
17.108134,21,6.636721
17.292601,29,6.661073
3.780755,11,6.676491
92.421251,51,6.726454
12.026359,24,6.747937
99.677028,63,6.798766
8.215701,15,6.812562
6.295546,12,6.8226
15.977372,17,6.846608
10.703124,17,6.855139
16.826573,23,6.878603
22.256199,21,6.898626
14.368602,20,6.910404
7.035729,11,6.910404
95.162836,54,6.976764
5.884803,12,6.987636
71.153826,42,7.022295
5.934122,10,7.030325
15.86152,24,7.054787
19.798887,24,7.078348
6.841105,11,7.086347
22.55907,25,7.107994
25.21447,25,7.129084
5.05512,10,7.138866
38.257098,41,7.180359
5.155988,11,7.191981
18.161186,20,7.208475
41.05041,37,7.239073
8.725559,24,7.261166
8.273502,23,7.28889
36.46527,33,7.316725
7.009274,34,7.343555
47.949122,41,7.376129
8.399528,22,7.400115
64.424576,41,7.43098
10.695652,17,7.444503
13.179738,21,7.452275
3.204816,10,7.470693
9.276577,14,7.476819
3.684451,17,7.504842
27.307924,33,7.532877
64.689184,50,7.574433
14.902014,17,7.578594
5.904108,17,7.600266
21.920483,29,7.633307
13.213169,16,7.648119
15.833984,24,7.669144
8.330522,11,7.6786
8.298879,32,7.705742
11.808902,13,7.71578
7.924677,11,7.725754
17.954834,20,7.75059
20.826974,26,7.771512
14.719094,31,7.793047
10.52946,12,7.807369
34.908822,29,7.830954
12.081142,15,7.849903
17.514852,19,7.867906
13.327913,17,7.883115
12.096961,14,7.895098
15.696468,17,7.909623
24.642245,37,7.942738
11.769914,17,7.952774
20.272114,28,7.983433
16.939898,26,7.995191
142.974865,73,8.058323
14.676797,16,8.089585
37.751362,30,8.119445
8.123882,14,8.133505
