#{"t_start": 1766596701.300799, "env_id": "CustomHopper-source-v0"}
r,l,t
6.182949,10,0.417981
19.812283,20,0.421809
6.221811,15,0.424314
10.649055,26,0.431858
30.229063,27,0.437479
10.156801,13,0.439817
6.910646,11,0.441616
4.925587,11,0.4434
30.830976,38,0.449885
23.220097,22,0.453504
10.212997,14,0.455954
3.988971,9,0.457437
7.678175,21,0.460895
5.559552,12,0.463014
21.201567,23,0.466778
5.775346,12,0.468641
9.078961,12,0.470444
7.002558,11,0.472317
5.033459,17,0.475073
1.950373,13,0.477195
63.600777,43,0.484095
38.110241,31,0.489125
6.334853,14,0.491447
4.238725,16,0.494044
7.967657,27,0.498619
13.771708,15,0.501063
4.148635,11,0.502836
9.364822,25,0.507081
11.119524,16,0.509794
6.715334,10,0.511342
7.721174,13,0.515751
12.584817,24,0.520545
8.780981,12,0.522665
4.332803,15,0.525175
5.745629,13,0.527208
17.597716,19,0.530366
29.188841,27,0.534917
9.15252,24,0.538834
17.687653,21,0.542266
5.161664,10,0.543782
4.632498,10,0.545384
13.093834,14,0.547547
6.65852,17,0.550313
3.16776,11,0.552074
22.363096,19,0.5552
15.647855,18,0.55808
12.127985,15,0.560412
9.359337,19,0.563508
52.456581,68,0.574551
26.988146,26,0.578775
6.53028,36,0.584644
7.506781,13,0.586673
8.661611,11,0.588459
8.389761,12,0.590309
15.192531,17,0.593125
14.511336,21,0.596505
25.18964,32,0.601745
9.017801,12,0.603618
35.626054,30,0.608453
3.936566,22,0.611936
62.038064,49,0.621744
6.265482,10,0.624101
28.073675,30,0.628837
8.274987,36,0.634739
14.631556,18,0.637553
5.763721,9,0.639317
5.53378,11,0.641122
9.429393,13,0.643059
12.580743,24,0.646988
6.39215,38,0.652983
11.275876,16,0.655552
6.249781,12,0.65739
6.842488,13,0.659453
11.430863,28,0.663966
11.787793,19,0.667013
9.224164,16,0.669557
6.396234,10,0.671089
4.985253,10,0.672604
23.018675,23,0.676284
4.904873,9,0.677679
93.286479,60,0.686986
6.465121,12,0.688869
7.629479,21,0.69219
61.801888,43,0.698824
5.540277,9,0.700176
13.989608,20,0.703303
5.537094,10,0.704801
6.37204,15,0.707209
8.847605,12,0.709117
18.218689,25,0.713158
29.294817,28,0.717703
4.349132,9,0.719175
12.464798,21,0.725341
10.649081,16,0.727957
8.035918,16,0.730701
7.208825,11,0.732415
6.276738,12,0.734342
12.0757,33,0.739841
8.530064,12,0.74171
11.831517,21,0.745181
11.87776,16,0.747854
9.021357,13,0.749836
9.453267,20,0.753037
8.836627,24,0.75685
75.849243,43,1.172316
8.975076,13,1.174441
104.632559,64,1.18518
22.942154,25,1.189387
37.352532,57,1.199109
25.551018,31,1.204147
47.262328,27,1.208532
15.198932,27,1.212957
53.101252,41,1.219767
24.293559,34,1.225301
56.444008,41,1.232831
46.01694,49,1.249048
21.679421,23,1.253701
9.628021,13,1.256119
34.580139,33,1.261623
13.801937,15,1.264232
10.161931,13,1.268891
6.068621,10,1.279236
72.250042,48,1.288121
10.418416,30,1.293063
11.193723,15,1.295434
12.283207,15,1.297854
3.11767,10,1.299458
9.934127,12,1.301444
18.167303,25,1.305665
83.273654,48,1.313423
78.430184,45,1.320646
5.300015,17,1.323478
11.919957,20,1.326711
1.180315,11,1.328472
22.892348,25,1.332707
32.29392,34,1.338266
6.463876,11,1.339992
12.99073,19,1.342991
132.203552,90,1.360391
27.771092,24,1.36448
66.377607,43,1.371417
5.10109,11,1.373159
4.344057,12,1.375043
6.111778,12,1.376883
12.339204,20,1.380113
17.837248,21,1.383511
8.357221,14,1.385808
8.00958,24,1.389665
12.012241,27,1.393954
20.634561,23,1.397701
57.872222,41,1.404368
9.212809,25,1.408519
7.89445,14,1.410893
7.072832,22,1.414491
10.800323,18,1.417452
63.677889,51,1.425939
11.769347,19,1.429248
33.808768,26,1.434248
8.446275,17,1.437539
14.16419,17,1.44033
6.324774,12,1.442284
37.771869,31,1.447463
27.989813,31,1.452434
12.060166,16,1.456697
65.563291,46,1.465314
5.198023,14,1.467658
33.630598,32,1.472926
15.8688,27,1.477269
72.230294,47,1.484899
64.712031,48,1.492722
61.174616,39,1.498905
5.878037,9,1.500307
20.095872,19,1.503426
9.88242,14,1.505719
77.324757,45,1.512794
12.333751,15,1.515211
33.554543,30,1.520132
4.055201,8,1.521417
7.816732,11,1.52307
82.070127,45,1.530134
19.60448,30,1.91199
17.164061,24,1.916168
155.570452,88,1.931077
50.720735,35,1.936768
86.221031,74,1.949018
18.697062,17,1.951826
21.498294,23,1.955539
6.922097,13,1.957605
20.12942,38,1.963976
34.361865,30,1.968831
120.003559,66,1.982172
17.583233,22,1.98582
84.997228,54,1.994795
22.628235,27,1.999276
9.64291,14,2.001563
94.737198,72,2.013198
25.406945,19,2.016223
105.834298,57,2.025129
30.263098,34,2.030768
97.126097,67,2.041757
17.49425,20,2.044946
7.027561,25,2.049128
14.348474,17,2.051953
86.664432,48,2.059305
95.307137,52,2.067248
112.052846,59,2.076624
79.153694,46,2.087098
30.181656,36,2.093182
9.912071,23,2.097004
38.274667,36,2.102903
16.386306,18,2.105755
13.857036,18,2.108551
79.919756,48,2.116273
96.401474,59,2.125683
7.127722,12,2.127578
7.436534,12,2.129493
130.466748,81,2.142682
117.010963,60,2.165076
23.996506,18,2.167987
32.628085,28,2.172427
103.137249,55,2.180899
20.4417,28,2.185377
173.137367,89,2.202638
7.686738,17,2.205482
71.760456,41,2.21211
