#{"t_start": 1767021848.0468931, "env_id": "CustomHopper-source-v0"}
r,l,t
12.27283,17,0.022122
6.516476,10,0.024683
19.046497,21,0.030423
5.043495,30,0.037389
8.444292,12,0.041193
2.968266,14,0.043689
10.040978,13,0.045857
3.612985,15,0.048367
13.544137,28,0.052939
16.802989,21,0.056626
2.503713,15,0.059205
9.191196,12,0.061016
5.625455,11,0.062735
8.083666,16,0.065258
5.895205,17,0.067842
8.388364,11,0.069509
20.913049,24,0.073706
51.916414,36,0.079326
4.684581,11,0.081018
15.471157,25,0.085213
24.508961,43,0.104459
20.643846,31,0.112039
3.192445,25,0.115983
9.712963,16,0.120701
6.071327,9,0.122746
19.796326,22,0.126306
25.159435,35,0.13188
39.402847,32,0.136813
105.576716,66,0.14733
12.053295,15,0.149705
12.290438,15,0.151979
7.402339,10,0.153494
11.771401,24,0.1573
18.193426,18,0.160063
4.324178,13,0.162042
10.002869,15,0.16435
12.17468,18,0.167163
6.129346,14,0.169335
8.885797,16,0.171799
5.834589,9,0.173135
5.316393,13,0.175105
14.10101,21,0.178389
35.45881,33,0.183551
23.862337,21,0.186789
5.437496,13,0.189146
28.394896,35,0.194881
8.049858,12,0.196753
5.865779,9,0.198648
10.770285,14,0.200782
7.903085,13,0.202779
11.638558,14,0.205044
9.662562,14,0.207489
5.091348,23,0.212061
12.309923,25,0.21618
6.198909,17,0.218926
9.783,23,0.224661
6.138996,11,0.226911
9.72537,15,0.229325
7.775208,12,0.231157
16.910523,28,0.235616
4.888956,15,0.237887
3.881137,17,0.240853
6.007687,21,0.244174
2.770088,11,0.245855
13.320131,33,0.251068
10.973662,13,0.253044
34.98556,28,0.257522
8.829689,25,0.261415
69.78144,51,0.269445
7.091272,15,0.27181
7.692765,13,0.274116
6.564648,10,0.275637
56.666741,36,0.281484
4.473111,10,0.283083
2.57511,8,0.284325
6.509418,14,0.286571
19.515951,26,0.290736
11.468602,37,0.29665
20.197427,29,0.301277
5.318702,10,0.30285
7.811687,27,0.307181
-0.412027,19,0.310186
11.880963,28,0.314667
4.592815,8,0.315891
13.523185,15,0.31815
10.400197,29,0.323035
26.898619,24,0.326642
24.275384,30,0.333975
9.492257,13,0.336077
13.5044,17,0.339021
6.063151,10,0.340616
5.298229,22,0.344064
3.805546,7,0.345157
21.902622,23,0.348792
11.100893,20,0.351911
24.626089,37,0.357792
10.973032,14,0.359955
2.903705,7,0.361034
6.946531,17,0.363698
32.065705,34,0.36927
12.061829,37,0.377754
11.557889,16,0.3803
11.271372,21,0.383645
3.308745,13,0.385657
14.003915,21,0.389021
3.821928,12,0.390918
6.290724,17,0.393677
18.679494,32,0.398786
7.647384,11,0.400423
8.89499,12,0.402304
6.756524,14,0.40449
2.622542,8,0.405928
4.52276,13,0.40796
6.41423,11,0.409788
3.575495,8,0.411043
1.730214,9,0.412467
15.976209,25,0.416523
68.027028,41,0.423108
